Question,Réponse,Lien,Catégorie,combined
Comment transférer mes crédits à une autre université ?,Soumettez une demande au bureau académique.,http://iset.example.com/administration,Administration,"Comment transférer mes crédits à une autre université ?
Soumettez une demande au bureau académique.
Lien: http://iset.example.com/administration"
Y a-t-il des programmes d’échange ?,"Oui, des programmes d’échange sont disponibles. Consultez le site.",http://iset.example.com/programmes,Cours,"Y a-t-il des programmes d’échange ?
Oui, des programmes d’échange sont disponibles. Consultez le site.
Lien: http://iset.example.com/programmes"
Comment postuler pour un programme d’échange ?,Soumettez votre candidature via le portail académique.,http://iset.example.com/programmes,Cours,"Comment postuler pour un programme d’échange ?
Soumettez votre candidature via le portail académique.
Lien: http://iset.example.com/programmes"
Quels sont les partenaires internationaux de l’ISET ?,"Les partenaires sont listés sur le site, section International.",http://iset.example.com/international,Cours,"Quels sont les partenaires internationaux de l’ISET ?
Les partenaires sont listés sur le site, section International.
Lien: http://iset.example.com/international"
Y a-t-il des cours de préparation aux certifications ?,"Oui, des cours pour certifications comme Cisco sont proposés.",http://iset.example.com/programmes,Cours,"Y a-t-il des cours de préparation aux certifications ?
Oui, des cours pour certifications comme Cisco sont proposés.
Lien: http://iset.example.com/programmes"
Comment obtenir une certification professionnelle ?,Inscrivez-vous aux cours spécifiques via le portail.,http://iset.example.com/programmes,Cours,"Comment obtenir une certification professionnelle ?
Inscrivez-vous aux cours spécifiques via le portail.
Lien: http://iset.example.com/programmes"
Quels sont les horaires des cours de langue ?,Les cours de langue ont lieu le soir. Vérifiez le portail.,http://iset.example.com/horaires,Horaires,"Quels sont les horaires des cours de langue ?
Les cours de langue ont lieu le soir. Vérifiez le portail.
Lien: http://iset.example.com/horaires"
Comment s’inscrire à un cours de langue ?,Inscrivez-vous via le portail étudiant.,http://iset.example.com/programmes,Cours,"Comment s’inscrire à un cours de langue ?
Inscrivez-vous via le portail étudiant.
Lien: http://iset.example.com/programmes"
Y a-t-il des frais pour les cours de langue ?,Certains cours sont gratuits pour les étudiants inscrits.,http://iset.example.com/programmes,Cours,"Y a-t-il des frais pour les cours de langue ?
Certains cours sont gratuits pour les étudiants inscrits.
Lien: http://iset.example.com/programmes"
Comment obtenir un certificat de langue ?,Terminez le cours et passez l’examen final.,http://iset.example.com/programmes,Cours,"Comment obtenir un certificat de langue ?
Terminez le cours et passez l’examen final.
Lien: http://iset.example.com/programmes"
Quels sont les équipements sportifs disponibles ?,Le campus dispose d’un gymnase et de terrains de sport.,http://iset.example.com/activites,Clubs,"Quels sont les équipements sportifs disponibles ?
Le campus dispose d’un gymnase et de terrains de sport.
Lien: http://iset.example.com/activites"
Comment rejoindre l’équipe de football ?,Inscrivez-vous via le club de sport.,http://iset.example.com/activites,Clubs,"Comment rejoindre l’équipe de football ?
Inscrivez-vous via le club de sport.
Lien: http://iset.example.com/activites"
Y a-t-il des compétitions sportives ?,"Oui, des tournois sont organisés chaque semestre.",http://iset.example.com/activites,Clubs,"Y a-t-il des compétitions sportives ?
Oui, des tournois sont organisés chaque semestre.
Lien: http://iset.example.com/activites"
Comment obtenir un financement pour un club ?,Soumettez une demande au bureau des activités.,http://iset.example.com/activites,Clubs,"Comment obtenir un financement pour un club ?
Soumettez une demande au bureau des activités.
Lien: http://iset.example.com/activites"
Quels sont les horaires du gymnase ?,Le gymnase est ouvert de 10h à 20h.,http://iset.example.com/activites,Clubs,"Quels sont les horaires du gymnase ?
Le gymnase est ouvert de 10h à 20h.
Lien: http://iset.example.com/activites"
Y a-t-il des activités culturelles ?,"Oui, des expositions et spectacles sont organisés.",http://iset.example.com/activites,Clubs,"Y a-t-il des activités culturelles ?
Oui, des expositions et spectacles sont organisés.
Lien: http://iset.example.com/activites"
Comment participer à une exposition culturelle ?,Inscrivez-vous via le club culturel.,http://iset.example.com/activites,Clubs,"Comment participer à une exposition culturelle ?
Inscrivez-vous via le club culturel.
Lien: http://iset.example.com/activites"
Quels sont les thèmes des clubs culturels ?,"Les thèmes incluent art, musique, et littérature.",http://iset.example.com/activites,Clubs,"Quels sont les thèmes des clubs culturels ?
Les thèmes incluent art, musique, et littérature.
Lien: http://iset.example.com/activites"
Y a-t-il des ateliers de programmation ?,"Oui, des ateliers sont organisés par le club informatique.",http://iset.example.com/activites,Clubs,"Y a-t-il des ateliers de programmation ?
Oui, des ateliers sont organisés par le club informatique.
Lien: http://iset.example.com/activites"
Comment s’inscrire à un hackathon ?,Inscrivez-vous via le portail des activités.,http://iset.example.com/activites,Clubs,"Comment s’inscrire à un hackathon ?
Inscrivez-vous via le portail des activités.
Lien: http://iset.example.com/activites"
Quels sont les projets du club robotique ?,Le club travaille sur des robots autonomes et des compétitions.,http://iset.example.com/activites,Clubs,"Quels sont les projets du club robotique ?
Le club travaille sur des robots autonomes et des compétitions.
Lien: http://iset.example.com/activites"
Y a-t-il des bourses pour les compétitions ?,Des bourses sont disponibles pour les compétitions nationales.,http://iset.example.com/bourses,Bourses,"Y a-t-il des bourses pour les compétitions ?
Des bourses sont disponibles pour les compétitions nationales.
Lien: http://iset.example.com/bourses"
Comment obtenir un financement pour un projet ?,Soumettez une proposition au bureau académique.,http://iset.example.com/ressources,Général,"Comment obtenir un financement pour un projet ?
Soumettez une proposition au bureau académique.
Lien: http://iset.example.com/ressources"
Quels sont les services de conseil académique ?,Des conseillers sont disponibles au bureau académique.,http://iset.example.com/ressources,Général,"Quels sont les services de conseil académique ?
Des conseillers sont disponibles au bureau académique.
Lien: http://iset.example.com/ressources"
Comment planifier mon parcours académique ?,Rencontrez un conseiller via le portail étudiant.,http://iset.example.com/ressources,Général,"Comment planifier mon parcours académique ?
Rencontrez un conseiller via le portail étudiant.
Lien: http://iset.example.com/ressources"
Y a-t-il des sessions d’orientation ?,"Oui, des sessions sont organisées en début de semestre.",http://iset.example.com/ressources,Général,"Y a-t-il des sessions d’orientation ?
Oui, des sessions sont organisées en début de semestre.
Lien: http://iset.example.com/ressources"
Comment améliorer mes compétences en programmation ?,Inscrivez-vous aux ateliers du club informatique.,http://iset.example.com/activites,Clubs,"Comment améliorer mes compétences en programmation ?
Inscrivez-vous aux ateliers du club informatique.
Lien: http://iset.example.com/activites"
Quels sont les outils de collaboration en ligne ?,L’ISET utilise des plateformes comme Moodle et Teams.,http://iset.example.com/services-it,Services IT,"Quels sont les outils de collaboration en ligne ?
L’ISET utilise des plateformes comme Moodle et Teams.
Lien: http://iset.example.com/services-it"
Comment accéder à Moodle ?,Connectez-vous avec vos identifiants étudiants.,http://iset.example.com/services-it,Services IT,"Comment accéder à Moodle ?
Connectez-vous avec vos identifiants étudiants.
Lien: http://iset.example.com/services-it"
Quels sont les cours sur Moodle ?,Tous les cours principaux sont sur Moodle.,http://iset.example.com/programmes,Cours,"Quels sont les cours sur Moodle ?
Tous les cours principaux sont sur Moodle.
Lien: http://iset.example.com/programmes"
Y a-t-il des formations sur les outils IT ?,"Oui, des formations sont proposées par le service IT.",http://iset.example.com/services-it,Services IT,"Y a-t-il des formations sur les outils IT ?
Oui, des formations sont proposées par le service IT.
Lien: http://iset.example.com/services-it"
Comment signaler un bug sur le portail étudiant ?,Contactez le support IT via le portail.,http://iset.example.com/services-it,Services IT,"Comment signaler un bug sur le portail étudiant ?
Contactez le support IT via le portail.
Lien: http://iset.example.com/services-it"
Quels sont les horaires du centre médical ?,Le centre médical est ouvert de 9h à 16h.,http://iset.example.com/ressources,Général,"Quels sont les horaires du centre médical ?
Le centre médical est ouvert de 9h à 16h.
Lien: http://iset.example.com/ressources"
Comment prendre rendez-vous au centre médical ?,Appelez le centre ou passez directement.,http://iset.example.com/ressources,Général,"Comment prendre rendez-vous au centre médical ?
Appelez le centre ou passez directement.
Lien: http://iset.example.com/ressources"
Y a-t-il des services de conseil psychologique ?,"Oui, des conseillers sont disponibles sur rendez-vous.",http://iset.example.com/ressources,Général,"Y a-t-il des services de conseil psychologique ?
Oui, des conseillers sont disponibles sur rendez-vous.
Lien: http://iset.example.com/ressources"
Comment obtenir une aide financière d’urgence ?,Contactez le bureau des bourses pour une aide d’urgence.,http://iset.example.com/bourses,Bourses,"Comment obtenir une aide financière d’urgence ?
Contactez le bureau des bourses pour une aide d’urgence.
Lien: http://iset.example.com/bourses"
Quels sont les droits des étudiants ?,Les droits sont détaillés dans le règlement intérieur.,http://iset.example.com/ressources,Général,"Quels sont les droits des étudiants ?
Les droits sont détaillés dans le règlement intérieur.
Lien: http://iset.example.com/ressources"
Comment signaler une discrimination ?,Contactez le bureau des affaires étudiantes.,http://iset.example.com/ressources,Général,"Comment signaler une discrimination ?
Contactez le bureau des affaires étudiantes.
Lien: http://iset.example.com/ressources"
Y a-t-il des programmes de mentorat ?,"Oui, des programmes de mentorat sont disponibles.",http://iset.example.com/ressources,Général,"Y a-t-il des programmes de mentorat ?
Oui, des programmes de mentorat sont disponibles.
Lien: http://iset.example.com/ressources"
Comment devenir mentor ?,Inscrivez-vous via le bureau académique.,http://iset.example.com/ressources,Général,"Comment devenir mentor ?
Inscrivez-vous via le bureau académique.
Lien: http://iset.example.com/ressources"
Quels sont les avantages d’être mentor ?,Les mentors reçoivent des crédits et des certificats.,http://iset.example.com/ressources,Général,"Quels sont les avantages d’être mentor ?
Les mentors reçoivent des crédits et des certificats.
Lien: http://iset.example.com/ressources"
Y a-t-il des ateliers de rédaction de CV ?,"Oui, des ateliers sont organisés par le portail carrière.",http://iset.example.com/carriere,Stages,"Y a-t-il des ateliers de rédaction de CV ?
Oui, des ateliers sont organisés par le portail carrière.
Lien: http://iset.example.com/carriere"
Comment préparer un entretien d’embauche ?,Consultez les ressources sur le portail carrière.,http://iset.example.com/carriere,Stages,"Comment préparer un entretien d’embauche ?
Consultez les ressources sur le portail carrière.
Lien: http://iset.example.com/carriere"
Quels sont les débouchés pour Informatique ?,"Les débouchés incluent développeur, administrateur réseau, et data scientist.",http://iset.example.com/carriere,Branches,"Quels sont les débouchés pour Informatique ?
Les débouchés incluent développeur, administrateur réseau, et data scientist.
Lien: http://iset.example.com/carriere"
Quels sont les débouchés pour Génie Civil ?,Les débouchés incluent ingénieur structure et chef de projet.,http://iset.example.com/carriere,Branches,"Quels sont les débouchés pour Génie Civil ?
Les débouchés incluent ingénieur structure et chef de projet.
Lien: http://iset.example.com/carriere"
Y a-t-il des foires de l’emploi ?,"Oui, une foire est organisée chaque année.",http://iset.example.com/evenements,Événements,"Y a-t-il des foires de l’emploi ?
Oui, une foire est organisée chaque année.
Lien: http://iset.example.com/evenements"
Comment contacter les anciens étudiants ?,Rejoignez le réseau des anciens sur le portail carrière.,http://iset.example.com/carriere,Général,"Comment contacter les anciens étudiants ?
Rejoignez le réseau des anciens sur le portail carrière.
Lien: http://iset.example.com/carriere"
Quels sont les projets de recherche à l’ISET ?,"Les projets sont listés sur le site, section Recherche.",http://iset.example.com/recherche,Général,"Quels sont les projets de recherche à l’ISET ?
Les projets sont listés sur le site, section Recherche.
Lien: http://iset.example.com/recherche"
Comment participer à un projet de recherche ?,Contactez le département de recherche via le site.,http://iset.example.com/recherche,Général,"Comment participer à un projet de recherche ?
Contactez le département de recherche via le site.
Lien: http://iset.example.com/recherche"
Y a-t-il des publications de l’ISET ?,"Oui, les publications sont disponibles sur le site.",http://iset.example.com/recherche,Général,"Y a-t-il des publications de l’ISET ?
Oui, les publications sont disponibles sur le site.
Lien: http://iset.example.com/recherche"
Comment obtenir un financement pour la recherche ?,Soumettez une demande au département de recherche.,http://iset.example.com/recherche,Général,"Comment obtenir un financement pour la recherche ?
Soumettez une demande au département de recherche.
Lien: http://iset.example.com/recherche"
